mapping_id,sub_menu_id,privilege_id
272,62,3
273,62,4
274,62,5
275,60,1
276,60,2
277,60,3
278,60,4
279,60,5
289,65,1
290,65,2
291,65,3
292,65,4
293,64,1
294,64,2
295,64,3
296,64,4
169,45,1
170,45,2
171,45,3
172,45,4
173,46,1
174,46,2
175,46,3
176,46,4
177,47,1
178,47,2
179,47,3
180,47,4
181,48,1
182,48,2
183,48,3
184,48,4
185,49,1
186,49,2
187,49,3
188,49,4
189,50,1
190,50,2
191,50,3
192,50,4
193,51,1
194,51,2
195,51,3
196,51,4
197,52,1
198,52,2
199,52,3
200,52,4
201,53,1
202,53,2
203,53,3
204,53,4
205,54,1
206,54,2
207,54,3
208,54,4
209,55,1
210,55,2
211,55,3
212,55,4
213,56,1
214,56,2
215,56,3
216,56,4
217,57,1
218,57,2
219,57,3
220,57,4
225,59,1
226,59,2
227,59,3
228,59,4
229,59,5
235,58,1
236,58,2
237,58,3
238,58,4
239,58,5
260,61,1
261,61,2
262,61,3
263,61,4
264,61,5
265,63,1
266,63,2
267,63,3
268,63,4
269,63,5
270,62,1
271,62,2
